entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateModified,dateCreated,entityType
http://www.wikidata.org/entity/Q11989225,Mevann,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,0.817334,square kilometre,3,2023-10-30T18:20:48Z,,Lake
http://www.wikidata.org/entity/Q1958265,Møsvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,79.09716,square kilometre,21,2024-05-21T20:59:44Z,,Lake
http://www.wikidata.org/entity/Q53266686,Stokksvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,2.143603,square kilometre,2,2024-04-12T00:37:12Z,,Lake
http://www.wikidata.org/entity/Q19378900,Langen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,3.060085,square kilometre,2,2024-04-02T20:22:15Z,,Lake
http://www.wikidata.org/entity/Q1636385,Krøderen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,43.906009,square kilometre,19,2024-07-17T16:03:52Z,,Lake
http://www.wikidata.org/entity/Q4493280,Storsjø,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,42.726257,square kilometre,10,2024-04-11T17:10:07Z,,Lake
http://www.wikidata.org/entity/Q21660813,Eiangen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.841857,square kilometre,2,2024-01-21T11:04:57Z,,Lake
http://www.wikidata.org/entity/Q10958943,Siljantjenn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,0.332882,square kilometre,3,2023-10-30T18:24:44Z,,Lake
http://www.wikidata.org/entity/Q876691,Keutschacher See,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.327,square kilometre,9,2024-11-23T00:02:56Z,,Lake
http://www.wikidata.org/entity/Q806255,Bandak,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,26.769669,square kilometre,18,2024-06-17T06:24:14Z,,Lake
http://www.wikidata.org/entity/Q28718514,Heddersvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.832664,square kilometre,3,2024-04-11T05:39:16Z,,Lake
http://www.wikidata.org/entity/Q565637,Untersee,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,63,square kilometre,15,2024-09-05T12:23:27Z,,Lake
http://www.wikidata.org/entity/Q108143646,Offensee,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,58.8446,hectare,1,2023-08-04T10:54:45Z,,Lake
http://www.wikidata.org/entity/Q1978550,Nesvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,17.238705,square kilometre,7,2024-04-13T18:45:21Z,,Lake
http://www.wikidata.org/entity/Q31894289,Vuolit Caskinjávri,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,0.2794,square kilometre,1,2023-12-10T09:44:44Z,,Lake
http://www.wikidata.org/entity/Q19390650,Børten,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,1.070126,square kilometre,2,2024-04-08T03:24:29Z,,Lake
http://www.wikidata.org/entity/Q1144478,Eikeren,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,27.719256,square kilometre,10,2024-04-13T13:36:27Z,,Lake
http://www.wikidata.org/entity/Q59326947,Nedre Toke,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,17.186671,square kilometre,0,2024-04-08T04:12:40Z,,Lake
http://www.wikidata.org/entity/Q7362012,Äkäsjärvi,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,13.099,square kilometre,7,2024-11-03T00:10:05Z,,Lake
http://www.wikidata.org/entity/Q11223902,Napevatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,10.460003,square kilometre,4,2024-04-06T23:10:45Z,,Lake
http://www.wikidata.org/entity/Q6514131,Rore,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,7.832717,square kilometre,8,2024-04-11T12:02:42Z,,Lake
http://www.wikidata.org/entity/Q3358037,North Aral Sea,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,3300,square kilometre,30,2024-10-22T08:13:06Z,,Lake
http://www.wikidata.org/entity/Q24339676,Raja-Kapperijärvi,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,0.2287,square kilometre,2,2024-04-18T10:21:17Z,,Lake
http://www.wikidata.org/entity/Q2455280,Byglandsfjorden,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,33.662583,square kilometre,14,2024-06-26T22:53:23Z,,Lake
http://www.wikidata.org/entity/Q1434743,Flåvatn,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,19.599203,square kilometre,9,2024-04-13T23:04:27Z,,Lake
http://www.wikidata.org/entity/Q1777782,Snåsavatnet,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,122.107516,square kilometre,19,2024-04-04T00:39:56Z,,Lake
http://www.wikidata.org/entity/Q11226451,Lufsjå,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,4.91155,square kilometre,4,2024-04-11T12:30:19Z,,Lake
http://www.wikidata.org/entity/Q8011404,Mår,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,20.512774,square kilometre,5,2024-04-13T05:34:34Z,,Lake
http://www.wikidata.org/entity/Q10960219,Kallungsjåen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,3.172003,square kilometre,3,2024-04-12T02:47:09Z,,Lake
http://www.wikidata.org/entity/Q517633,Lake Elmenteita,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,20,square kilometre,30,2024-11-20T19:32:14Z,,Lake
http://www.wikidata.org/entity/Q3845329,Iešjávri,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,68.191474,square kilometre,16,2024-04-02T12:24:19Z,,Lake
http://www.wikidata.org/entity/Q29365779,Tervalampi,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,411,hectare,2,2024-09-08T21:29:50Z,,Lake
http://www.wikidata.org/entity/Q905632,Breimsvatnet,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,22.662948,square kilometre,13,2024-03-28T08:09:07Z,,Lake
http://www.wikidata.org/entity/Q1637472,Rogen,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,35.606289,square kilometre,22,2024-04-06T14:00:01Z,,Lake
http://www.wikidata.org/entity/Q35342,Titicaca,Geography,http://www.wikidata.org/prop/direct/P2046,http://www.wikidata.org/prop/direct/P2046,8372,square kilometre,128,2024-11-20T19:50:07Z,,Lake
