entity,entityLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q156093,Taxila,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,72.7875,66,,2024-11-16T15:32:53Z
http://www.wikidata.org/entity/Q188395,Nippur,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,45.230833333,66,,2024-09-12T21:52:22Z
http://www.wikidata.org/entity/Q192522,Çatalhöyük,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,32.828333333,66,,2024-11-07T15:40:28Z
http://www.wikidata.org/entity/Q2620036,Nazca Lines,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-75.135,66,,2024-09-25T03:50:08Z
http://www.wikidata.org/entity/Q131397,Venus of Willendorf,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,16.05,66,,2024-11-21T22:37:26Z
http://www.wikidata.org/entity/Q59174,Capernaum,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,35.575,65,,2024-11-10T11:57:58Z
http://www.wikidata.org/entity/Q181427,Palenque,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-92.046388888,65,,2024-11-07T15:39:07Z
http://www.wikidata.org/entity/Q191504,Leptis Magna,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,14.290496459,65,,2024-10-28T14:35:44Z
http://www.wikidata.org/entity/Q156591,Yad Vashem,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,35.175555555,64,,2024-09-03T07:58:31Z
http://www.wikidata.org/entity/Q156591,Yad Vashem,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,35.1772481,64,,2024-09-03T07:58:31Z
http://www.wikidata.org/entity/Q188740,Museum of Modern Art,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-73.977611111,64,,2024-11-10T03:52:20Z
http://www.wikidata.org/entity/Q188740,Museum of Modern Art,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-73.9775,64,,2024-11-10T03:52:20Z
http://www.wikidata.org/entity/Q190048,Tassili n'Ajjer,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,9.0,64,,2024-10-07T01:29:59Z
http://www.wikidata.org/entity/Q230025,Pasargadae,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,53.179444444,64,,2024-08-30T09:35:22Z
http://www.wikidata.org/entity/Q4523,Chogha Zanbil,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,48.520833333,63,,2024-10-27T17:40:13Z
http://www.wikidata.org/entity/Q192134,Saqqara,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,31.233333333,63,,2024-08-11T09:12:25Z
http://www.wikidata.org/entity/Q152072,Manneken Pis,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,4.349988,63,,2024-10-05T09:28:45Z
http://www.wikidata.org/entity/Q213232,Uxmal,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-89.771388888,62,,2024-07-09T13:05:25Z
http://www.wikidata.org/entity/Q42049,Balmoral Castle,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,-3.23016,61,,2024-11-01T18:10:26Z
http://www.wikidata.org/entity/Q522862,Karnak Temple Complex,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,32.658333333,61,,2024-10-24T02:29:04Z
http://www.wikidata.org/entity/Q272680,Bosra,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,36.483333333,61,,2024-08-26T21:26:39Z
http://www.wikidata.org/entity/Q183334,Tretyakov Gallery,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,37.620864,60,,2024-11-01T17:02:41Z
http://www.wikidata.org/entity/Q638445,Chersonesus,Geography,http://www.wikidata.org/prop/direct/P625,http://www.wikidata.org/prop/direct/P625,33.492508,60,,2024-11-14T19:29:22Z
