person,personLabel,category,property,propertyLabel,startYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q53783,Enver Hoxha,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1941,http://www.wikidata.org/entity/Q82955,politician,97,,2024-11-18T08:49:19Z
http://www.wikidata.org/entity/Q45207,Antonio Inoki,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1960,http://www.wikidata.org/entity/Q82955,politician,34,,2024-11-18T06:34:08Z
http://www.wikidata.org/entity/Q48145,Kirill Meretskov,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1916,http://www.wikidata.org/entity/Q82955,politician,46,,2024-11-17T18:00:30Z
http://www.wikidata.org/entity/Q48074,Filipp Golikov,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1918,http://www.wikidata.org/entity/Q82955,politician,35,,2024-10-12T14:17:47Z
http://www.wikidata.org/entity/Q37217,Fyodor Tyutchev,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1813,http://www.wikidata.org/entity/Q82955,politician,84,,2024-12-07T14:01:44Z
http://www.wikidata.org/entity/Q32024,Sergej Šoigu,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1991,http://www.wikidata.org/entity/Q82955,politician,79,,2024-11-23T09:53:54Z
http://www.wikidata.org/entity/Q42615,Georgi Glouchkov,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1976,http://www.wikidata.org/entity/Q82955,politician,11,,2024-09-03T06:44:28Z
http://www.wikidata.org/entity/Q57123,Alfred Jodl,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1903,http://www.wikidata.org/entity/Q82955,politician,67,,2024-12-08T03:49:22Z
http://www.wikidata.org/entity/Q53294,Arvid Lindman,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1882,http://www.wikidata.org/entity/Q82955,politician,28,,2024-10-13T08:25:11Z
http://www.wikidata.org/entity/Q28591,David Petraeus,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1974,http://www.wikidata.org/entity/Q82955,politician,50,,2024-11-01T16:02:34Z
http://www.wikidata.org/entity/Q48047,Boris Shaposhnikov,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1901,http://www.wikidata.org/entity/Q82955,politician,48,,2024-11-25T01:46:05Z
http://www.wikidata.org/entity/Q48077,Semyon Kurkotkin,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1937,http://www.wikidata.org/entity/Q82955,politician,26,,2024-06-18T13:23:44Z
http://www.wikidata.org/entity/Q48037,Pyotr Koshevoy,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1920,http://www.wikidata.org/entity/Q82955,politician,28,,2024-09-07T04:34:14Z
http://www.wikidata.org/entity/Q48044,Grigory Kulik,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1912,http://www.wikidata.org/entity/Q82955,politician,33,,2024-09-25T09:15:54Z
http://www.wikidata.org/entity/Q39940,"Andrew Cunningham, 1st Viscount Cunningham of Hyndhope",Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1897,http://www.wikidata.org/entity/Q82955,politician,34,,2024-10-26T21:46:14Z
http://www.wikidata.org/entity/Q33635,Hema Malini,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1965,http://www.wikidata.org/entity/Q82955,politician,63,,2024-11-12T13:31:15Z
http://www.wikidata.org/entity/Q29427,Isaac Mordechai,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1962,http://www.wikidata.org/entity/Q82955,politician,17,,2024-09-01T09:27:07Z
http://www.wikidata.org/entity/Q35314,Nikita Khrushchev,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1941,http://www.wikidata.org/entity/Q82955,politician,160,,2024-12-08T03:31:56Z
http://www.wikidata.org/entity/Q48053,Kirill Moskalenko,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1920,http://www.wikidata.org/entity/Q82955,politician,34,,2024-10-31T23:18:50Z
http://www.wikidata.org/entity/Q48674,René Fonck,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1914,http://www.wikidata.org/entity/Q82955,politician,23,,2024-11-18T13:53:59Z
http://www.wikidata.org/entity/Q42410,Juan Evo Morales Ayma.,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1977,http://www.wikidata.org/entity/Q82955,politician,122,,2024-11-15T08:11:55Z
http://www.wikidata.org/entity/Q36878,Rasul Gamzatov,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1932,http://www.wikidata.org/entity/Q82955,politician,49,,2024-11-12T08:57:39Z
http://www.wikidata.org/entity/Q57204,Hans von Seeckt,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1885,http://www.wikidata.org/entity/Q82955,politician,43,,2024-12-08T03:49:33Z
http://www.wikidata.org/entity/Q53040,Franco Zeffirelli,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1950,http://www.wikidata.org/entity/Q82955,politician,56,,2024-12-08T03:46:01Z
http://www.wikidata.org/entity/Q57175,Sepp Dietrich,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1919,http://www.wikidata.org/entity/Q82955,politician,43,,2024-10-26T12:01:28Z
http://www.wikidata.org/entity/Q57153,Erich von Falkenhayn,Personalities,http://www.wikidata.org/prop/direct/P2031,http://www.wikidata.org/prop/direct/P2031,1880,http://www.wikidata.org/entity/Q82955,politician,48,,2024-12-08T16:00:56Z
