person,personLabel,category,property,propertyLabel,endYear,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q2835166,Alfred Gilbert,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1934,http://www.wikidata.org/entity/Q483501,artist,13,,2024-12-05T09:18:44Z
http://www.wikidata.org/entity/Q4458078,Gerda Tirén,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1928,http://www.wikidata.org/entity/Q483501,artist,12,,2024-12-04T14:14:44Z
http://www.wikidata.org/entity/Q722059,Walter Johnson,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1927,http://www.wikidata.org/entity/Q82955,politician,19,,2024-11-21T18:15:19Z
http://www.wikidata.org/entity/Q2850565,Anna Lea Merritt,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1930,http://www.wikidata.org/entity/Q483501,artist,18,,2024-11-09T11:50:36Z
http://www.wikidata.org/entity/Q152797,Umberto Boccioni,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1916,http://www.wikidata.org/entity/Q483501,artist,52,,2024-11-22T21:15:54Z
http://www.wikidata.org/entity/Q678193,Medardo Rosso,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1928,http://www.wikidata.org/entity/Q483501,artist,20,,2024-11-09T16:08:36Z
http://www.wikidata.org/entity/Q78492,Tomáš Garrigue Masaryk,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1937,http://www.wikidata.org/entity/Q82955,politician,92,,2024-11-24T15:54:30Z
http://www.wikidata.org/entity/Q462529,Karin Larsson,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1928,http://www.wikidata.org/entity/Q483501,artist,23,,2024-10-29T03:41:30Z
http://www.wikidata.org/entity/Q61022,Maximilian von Prittwitz,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1914,http://www.wikidata.org/entity/Q82955,politician,27,,2024-07-05T16:54:29Z
http://www.wikidata.org/entity/Q82984,Pierre de Coubertin,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1930,http://www.wikidata.org/entity/Q82955,politician,113,,2024-11-20T11:57:41Z
http://www.wikidata.org/entity/Q51056,Franz Joseph I of Austria,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1916,http://www.wikidata.org/entity/Q82955,politician,96,,2024-12-08T03:43:24Z
http://www.wikidata.org/entity/Q4292232,Hampartsoum Boyadjian,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1915,http://www.wikidata.org/entity/Q82955,politician,13,,2024-06-08T07:58:16Z
http://www.wikidata.org/entity/Q219646,Vicente Blasco Ibáñez,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1928,http://www.wikidata.org/entity/Q82955,politician,58,,2024-12-08T04:50:40Z
http://www.wikidata.org/entity/Q2567454,Grigory Spiridonovich Petrov,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1925,http://www.wikidata.org/entity/Q82955,politician,11,,2024-11-16T03:17:31Z
http://www.wikidata.org/entity/Q465163,Edward Poynter,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1919,http://www.wikidata.org/entity/Q483501,artist,24,,2024-12-06T12:29:47Z
http://www.wikidata.org/entity/Q434575,Arthur Hughes,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1915,http://www.wikidata.org/entity/Q483501,artist,28,,2024-12-06T12:29:54Z
http://www.wikidata.org/entity/Q440922,Jacoba van Heemskerck,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1923,http://www.wikidata.org/entity/Q483501,artist,20,,2024-10-26T11:38:06Z
http://www.wikidata.org/entity/Q451400,René Lalique,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q483501,artist,32,,2024-12-07T14:40:00Z
http://www.wikidata.org/entity/Q4054419,Diana Abgar,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1937,http://www.wikidata.org/entity/Q82955,politician,33,,2024-11-19T04:46:42Z
http://www.wikidata.org/entity/Q549431,Jorge Ubico,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1944,http://www.wikidata.org/entity/Q82955,politician,27,,2024-11-11T22:37:36Z
http://www.wikidata.org/entity/Q462707,Frances Benjamin Johnston,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1950,http://www.wikidata.org/entity/Q483501,artist,20,,2024-11-11T17:03:11Z
http://www.wikidata.org/entity/Q319015,Yigal Allon,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1950,http://www.wikidata.org/entity/Q82955,politician,39,,2024-07-16T12:35:12Z
http://www.wikidata.org/entity/Q554322,Gonzalo Queipo de Llano,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1940,http://www.wikidata.org/entity/Q82955,politician,25,,2024-10-27T05:33:49Z
http://www.wikidata.org/entity/Q704565,Zhang Zongchang,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1932,http://www.wikidata.org/entity/Q82955,politician,16,,2024-09-22T07:41:28Z
http://www.wikidata.org/entity/Q47906,Hermann Göring,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q82955,politician,107,,2024-12-08T14:29:20Z
http://www.wikidata.org/entity/Q2914828,Yakov Smushkevich,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1941,http://www.wikidata.org/entity/Q82955,politician,22,,2024-10-12T08:13:32Z
http://www.wikidata.org/entity/Q446711,"Archduke Friedrich, Duke of Teschen",Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1936,http://www.wikidata.org/entity/Q82955,politician,29,,2024-10-26T23:59:41Z
http://www.wikidata.org/entity/Q62544,Alexander Kanoldt,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1939,http://www.wikidata.org/entity/Q82955,politician,17,,2024-12-08T03:59:08Z
http://www.wikidata.org/entity/Q704264,Charles Huntziger,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1941,http://www.wikidata.org/entity/Q82955,politician,19,,2024-12-08T08:25:07Z
http://www.wikidata.org/entity/Q12706,Maxim Gorky,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1936,http://www.wikidata.org/entity/Q82955,politician,175,,2024-12-08T03:26:02Z
http://www.wikidata.org/entity/Q193236,Gabriele D'Annunzio,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1938,http://www.wikidata.org/entity/Q82955,politician,105,,2024-12-08T04:34:06Z
http://www.wikidata.org/entity/Q436267,Hilma af Klint,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1943,http://www.wikidata.org/entity/Q483501,artist,40,,2024-10-11T14:11:00Z
http://www.wikidata.org/entity/Q93330,Juan Perón,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q82955,politician,90,,2024-12-07T14:10:28Z
http://www.wikidata.org/entity/Q6736649,Mainie Harriet Jellett,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1937,http://www.wikidata.org/entity/Q483501,artist,12,,2024-10-23T15:31:23Z
http://www.wikidata.org/entity/Q347194,Lewis Hine,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1940,http://www.wikidata.org/entity/Q483501,artist,37,,2024-12-02T17:10:55Z
http://www.wikidata.org/entity/Q43067,Heinrich Himmler,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q82955,politician,114,,2024-12-08T03:36:10Z
http://www.wikidata.org/entity/Q8768,Henry Ford,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q82955,politician,190,,2024-12-08T18:13:06Z
http://www.wikidata.org/entity/Q727643,Paul Nash,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q483501,artist,23,,2024-12-06T18:16:54Z
http://www.wikidata.org/entity/Q519191,Yakov Yurovsky,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1938,http://www.wikidata.org/entity/Q82955,politician,26,,2024-07-29T05:51:31Z
http://www.wikidata.org/entity/Q2572143,Henri Gouraud,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1937,http://www.wikidata.org/entity/Q82955,politician,19,,2024-11-16T03:23:14Z
http://www.wikidata.org/entity/Q1360808,Leonardo Bistolfi,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1933,http://www.wikidata.org/entity/Q82955,politician,14,,2024-11-05T04:22:39Z
http://www.wikidata.org/entity/Q2440412,"Neville Bulwer-Lytton, 3rd Earl of Lytton",Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1940,http://www.wikidata.org/entity/Q2066131,athlete,15,,2024-11-21T15:29:04Z
http://www.wikidata.org/entity/Q23559,Benito Mussolini,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q82955,politician,196,,2024-12-08T03:28:00Z
http://www.wikidata.org/entity/Q379670,José Félix Estigarribia,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1940,http://www.wikidata.org/entity/Q82955,politician,25,,2024-11-15T14:43:27Z
http://www.wikidata.org/entity/Q559950,Eusebio Ayala,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1937,http://www.wikidata.org/entity/Q82955,politician,25,,2024-11-07T17:32:57Z
http://www.wikidata.org/entity/Q9696,John F. Kennedy,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q82955,politician,243,,2024-12-08T03:25:31Z
http://www.wikidata.org/entity/Q4972658,Gabrielė Petkevičaitė-Bitė,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1943,http://www.wikidata.org/entity/Q82955,politician,14,,2024-11-14T10:42:24Z
http://www.wikidata.org/entity/Q28085,Adolf Eichmann,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1945,http://www.wikidata.org/entity/Q82955,politician,91,,2024-12-08T03:29:31Z
http://www.wikidata.org/entity/Q2824734,Adolfo Venturi,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1940,http://www.wikidata.org/entity/Q82955,politician,12,,2024-12-08T09:53:02Z
http://www.wikidata.org/entity/Q551426,Eric Gill,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1940,http://www.wikidata.org/entity/Q483501,artist,25,,2024-11-09T14:47:51Z
http://www.wikidata.org/entity/Q214565,Beatrix Potter,Personalities,http://www.wikidata.org/prop/direct/P2032,http://www.wikidata.org/prop/direct/P2032,1942,http://www.wikidata.org/entity/Q483501,artist,81,,2024-12-08T04:43:52Z
