person,personLabel,category,property,propertyLabel,value,profession,professionLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q2496,Ludwig Erhard,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,89,,2024-12-08T16:20:00Z
http://www.wikidata.org/entity/Q595088,Archduke Anton Victor of Austria,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,17,,2024-11-08T18:35:31Z
http://www.wikidata.org/entity/Q699396,Erhard Busek,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,18,,2024-12-07T20:31:09Z
http://www.wikidata.org/entity/Q11613,Harry S. Truman,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,191,,2024-11-06T16:00:39Z
http://www.wikidata.org/entity/Q6294,Hillary Clinton,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,187,,2024-11-27T00:23:57Z
http://www.wikidata.org/entity/Q9960,Ronald Reagan,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,306,,2024-12-08T03:25:35Z
http://www.wikidata.org/entity/Q1254019,Anne de La Tour d'Auvergne,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,14,,2024-11-09T11:36:32Z
http://www.wikidata.org/entity/Q583534,Paolo Troubetzkoy,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q483501,artist,19,,2024-11-09T15:20:24Z
http://www.wikidata.org/entity/Q294339,Alexei Rykov,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,54,,2024-12-07T23:16:41Z
http://www.wikidata.org/entity/Q1150358,Empress Dowager Ci'an,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,23,,2024-11-30T07:16:29Z
http://www.wikidata.org/entity/Q2370725,Barbara Bodichon,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q483501,artist,28,,2024-11-16T00:10:39Z
http://www.wikidata.org/entity/Q2757,Lech Kaczyński,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,114,,2024-12-06T10:03:58Z
http://www.wikidata.org/entity/Q62810,Andrea Nahles,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,40,,2024-11-02T15:12:29Z
http://www.wikidata.org/entity/Q55782,Leszek Miller,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,34,,2024-11-22T14:07:08Z
http://www.wikidata.org/entity/Q6351,Olha Saladukha,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,35,,2024-09-29T21:50:40Z
http://www.wikidata.org/entity/Q2153,Subhas Chandra Bose,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,76,,2024-11-15T21:22:18Z
http://www.wikidata.org/entity/Q638678,Archduke Leopold Ludwig of Austria,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,16,,2024-10-13T22:43:18Z
http://www.wikidata.org/entity/Q2315627,Albrycht Stanisław Radziwiłł,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-19T07:59:48Z
http://www.wikidata.org/entity/Q701484,Klaus Iohannis,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,0,http://www.wikidata.org/entity/Q82955,politician,87,,2024-12-09T02:13:32Z
http://www.wikidata.org/entity/Q34211,Yasser Arafat,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,147,,2024-12-08T19:36:34Z
http://www.wikidata.org/entity/Q57606,Robert Fico,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,84,,2024-11-29T09:37:16Z
http://www.wikidata.org/entity/Q313604,Andrés Bonifacio,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,44,,2024-12-02T14:19:10Z
http://www.wikidata.org/entity/Q246216,Ewa Kopacz,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,56,,2024-11-22T14:18:28Z
http://www.wikidata.org/entity/Q265277,Kristalina Georgieva,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,47,,2024-11-21T21:10:32Z
http://www.wikidata.org/entity/Q253667,Suha Arafat,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,29,,2024-11-30T22:00:41Z
http://www.wikidata.org/entity/Q86851,Elisabeth Köstinger,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,14,,2024-11-07T01:41:20Z
http://www.wikidata.org/entity/Q249206,Mevlüt Çavuşoğlu,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,49,,2024-12-06T18:28:58Z
http://www.wikidata.org/entity/Q319551,Adam Daniel Rotfeld,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,13,,2024-11-26T22:00:51Z
http://www.wikidata.org/entity/Q85783,Alexander Dobrindt,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,20,,2024-10-24T15:41:43Z
http://www.wikidata.org/entity/Q280455,Faye Emerson,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,16,,2024-10-28T22:52:13Z
http://www.wikidata.org/entity/Q76658,Frank-Walter Steinmeier,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,109,,2024-11-17T14:28:55Z
http://www.wikidata.org/entity/Q335697,Anthony Albanese,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,73,,2024-11-11T17:32:37Z
http://www.wikidata.org/entity/Q366388,Frank Carlson,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,17,,2024-12-03T07:43:40Z
http://www.wikidata.org/entity/Q114667,Sarah Wiener,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q2066131,athlete,12,,2024-11-22T14:16:28Z
http://www.wikidata.org/entity/Q436782,Susan Rothenberg,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q483501,artist,11,,2024-11-09T13:17:21Z
http://www.wikidata.org/entity/Q369612,Dobrica Ćosić,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,42,,2024-11-23T15:16:45Z
http://www.wikidata.org/entity/Q257756,Margaret Hamilton,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,33,,2024-11-19T19:54:46Z
http://www.wikidata.org/entity/Q102341,Farrah Fawcett,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q483501,artist,74,,2024-12-08T03:26:30Z
http://www.wikidata.org/entity/Q234370,Paula Modersohn-Becker,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q483501,artist,42,,2024-12-08T07:34:08Z
http://www.wikidata.org/entity/Q76265,Franziska Brantner,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,12,,2024-11-25T10:21:51Z
http://www.wikidata.org/entity/Q85433,Doris Bures,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,23,,2024-11-06T18:09:55Z
http://www.wikidata.org/entity/Q242305,Anna Diamantopoulou,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,17,,2024-09-28T05:53:39Z
http://www.wikidata.org/entity/Q463130,Gianni Alemanno,Personalities,http://www.wikidata.org/prop/direct/P1971,http://www.wikidata.org/prop/direct/P1971,1,http://www.wikidata.org/entity/Q82955,politician,24,,2024-11-11T20:40:06Z
