player,playerLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q213129,John Paintsil,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,178,centimetre,40
http://www.wikidata.org/entity/Q10796,Jean-Alain Fanchone,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,11
http://www.wikidata.org/entity/Q3606,Emil Rilke,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,176,centimetre,11
http://www.wikidata.org/entity/Q27482,Maka Mary,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,182,centimetre,9
http://www.wikidata.org/entity/Q1919,Mathieu Valbuena,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,167,centimetre,53
http://www.wikidata.org/entity/Q128721,Steven Berghuis,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,180,centimetre,37
http://www.wikidata.org/entity/Q1944,Jérémy Toulalan,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,51
http://www.wikidata.org/entity/Q290694,Spiros Fourlanos,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,8
http://www.wikidata.org/entity/Q288559,Érika Cristiano dos Santos,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,173,centimetre,21
http://www.wikidata.org/entity/Q125460,Simon Mignolet,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,193,centimetre,56
http://www.wikidata.org/entity/Q211126,Paulo Wanchope,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,191,centimetre,52
http://www.wikidata.org/entity/Q241321,Stephen Warnock,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,170,centimetre,38
http://www.wikidata.org/entity/Q289150,Måns Söderqvist,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,171,centimetre,9
http://www.wikidata.org/entity/Q126104,Ricardo van Rhijn,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,179,centimetre,25
http://www.wikidata.org/entity/Q39323,Jasmin Šćuk,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,8
http://www.wikidata.org/entity/Q43559,Joël Kiassumbua,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,190,centimetre,12
http://www.wikidata.org/entity/Q213401,Fabio,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,172,centimetre,45
http://www.wikidata.org/entity/Q123576,Leandro Salino,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,169,centimetre,16
http://www.wikidata.org/entity/Q230865,Homare Sawa,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,165,centimetre,48
http://www.wikidata.org/entity/Q211676,Park Jung-hae,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,10
http://www.wikidata.org/entity/Q17499,Cesc Fàbregas,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,179,centimetre,85
http://www.wikidata.org/entity/Q10667,Nyron Nosworthy,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,183,centimetre,13
http://www.wikidata.org/entity/Q1912,Karim Benzema,Sports,http://www.wikidata.org/prop/direct/P2048,http://www.wikidata.org/prop/direct/P2048,185,centimetre,104
