venue,venueLabel,category,property,propertyLabel,value,unitLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q1560950,Raoul Illidge Sports Complex,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,3000,1,7,,2023-12-27T22:42:58Z
http://www.wikidata.org/entity/Q2390029,Avanhard Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,12080,1,11,,2023-05-30T07:40:26Z
http://www.wikidata.org/entity/Q2279580,Edmond Machtens Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,11000,1,9,,2024-07-28T15:12:33Z
http://www.wikidata.org/entity/Q1370705,Estádio Parque do Sabiá,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,53350,1,11,,2023-05-30T17:46:57Z
http://www.wikidata.org/entity/Q1432517,Stade Francis-Le Blé,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,15097,1,18,,2024-05-20T06:26:57Z
http://www.wikidata.org/entity/Q1432517,Stade Francis-Le Blé,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,15305,1,18,,2024-05-20T06:26:57Z
http://www.wikidata.org/entity/Q1190837,Markaziy Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,9000,1,8,,2024-07-22T09:23:23Z
http://www.wikidata.org/entity/Q1398213,Fatorda Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,19000,1,19,,2024-02-24T18:52:15Z
http://www.wikidata.org/entity/Q2697083,Estadio Nuevo Lasesarre,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,7960,1,9,,2022-12-10T20:48:40Z
http://www.wikidata.org/entity/Q1777875,Kobe Universiade Memorial Stadium,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,45000,1,15,,2024-10-18T08:31:42Z
http://www.wikidata.org/entity/Q666984,Hallenstadion,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,11200,1,18,,2024-09-29T13:41:03Z
http://www.wikidata.org/entity/Q668606,Stade Olympique de la Pontaise,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,50000,1,21,,2024-09-16T08:41:57Z
http://www.wikidata.org/entity/Q2586520,Estádio de São Luís,Sports,http://www.wikidata.org/prop/direct/P1083,http://www.wikidata.org/prop/direct/P1083,7000,1,9,,2024-09-01T22:54:09Z
