event,eventLabel,category,property,propertyLabel,value,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q64184460,UFC 245,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,16811,8,,2023-10-20T04:06:06Z
http://www.wikidata.org/entity/Q109974871,UFC 272,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,19425,7,,2024-02-02T18:58:50Z
http://www.wikidata.org/entity/Q84154337,UFC Fight Night 167,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,6449,8,,2023-10-20T04:04:01Z
http://www.wikidata.org/entity/Q1492807,Galway Races,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,150000,4,,2022-07-28T01:04:19Z
http://www.wikidata.org/entity/Q30335854,Q30335854,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,7694,1,,2021-02-18T00:54:15Z
http://www.wikidata.org/entity/Q112316820,UFC 278,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18321,5,,2024-02-05T00:15:21Z
http://www.wikidata.org/entity/Q60767238,UFC Fight Night 151,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10960,7,,2023-09-04T08:35:37Z
http://www.wikidata.org/entity/Q3080547,British and Irish Lions XV in Paris 1989,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,28881,2,,2024-08-14T13:48:55Z
http://www.wikidata.org/entity/Q64184453,UFC 241,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,17304,8,,2023-10-20T21:56:11Z
http://www.wikidata.org/entity/Q64184458,UFC 244,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,20143,8,,2024-10-13T15:38:40Z
http://www.wikidata.org/entity/Q60767246,UFC Fight Night 153,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,14319,8,,2024-09-23T04:12:21Z
http://www.wikidata.org/entity/Q64396145,UFC 240,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,12144,8,,2023-10-20T21:57:18Z
http://www.wikidata.org/entity/Q113677945,UFC 281,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,20845,6,,2024-04-08T12:33:26Z
http://www.wikidata.org/entity/Q20857028,UFC 195,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,10300,9,,2023-12-02T03:46:40Z
http://www.wikidata.org/entity/Q48791520,2018 All-Ireland Senior Hurling Championship Final,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,82300,2,,2023-05-01T15:25:18Z
http://www.wikidata.org/entity/Q108131006,UFC 269,Sports,http://www.wikidata.org/prop/direct/P1110,http://www.wikidata.org/prop/direct/P1110,18471,8,,2024-02-05T00:15:30Z
