entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q1473907,Beta Piscium,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,4.7,solar mass,17
http://www.wikidata.org/entity/Q937839,Zeta1 Scorpii,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,36,solar mass,17
http://www.wikidata.org/entity/Q377850,Q377850,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.6,solar mass,15
http://www.wikidata.org/entity/Q740780,Gliese 876,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.37,solar mass,29
http://www.wikidata.org/entity/Q1154077,Gliese 1,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.48,solar mass,22
http://www.wikidata.org/entity/Q429708,3 Vulpeculae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,4.16,solar mass,11
http://www.wikidata.org/entity/Q1197298,Wolf 1061,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.25,solar mass,22
http://www.wikidata.org/entity/Q1327920,HD 219134,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.794,solar mass,21
http://www.wikidata.org/entity/Q260362,Kalausi,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.9,solar mass,12
http://www.wikidata.org/entity/Q1485718,Q1485718,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.24,solar mass,15
http://www.wikidata.org/entity/Q236654,47 Ursae Majoris,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,1.03,solar mass,26
http://www.wikidata.org/entity/Q1327573,TW Piscis Austrini,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.725,solar mass,18
http://www.wikidata.org/entity/Q1334044,Gamma Lyrae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,5.76,solar mass,22
http://www.wikidata.org/entity/Q1029146,Theta Hydrae,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.52,solar mass,12
http://www.wikidata.org/entity/Q676853,Nu Capricorni,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,2.37,solar mass,15
http://www.wikidata.org/entity/Q1104105,COROT-7,Science,http://www.wikidata.org/prop/direct/P2067,http://www.wikidata.org/prop/direct/P2067,0.93,solar mass,19
