entity,entityLabel,category,property,propertyLabel,value,unitLabel,sitelinks
http://www.wikidata.org/entity/Q847792,Q847792,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,14800,centimetre per square second,6
http://www.wikidata.org/entity/Q657969,XO-3,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,13270,centimetre per square second,12
http://www.wikidata.org/entity/Q4042001,Q4042001,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,42000,centimetre per square second,6
http://www.wikidata.org/entity/Q4042143,Q4042143,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,51600,centimetre per square second,9
http://www.wikidata.org/entity/Q603764,52 Cygni,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,300,centimetre per square second,11
http://www.wikidata.org/entity/Q390671,HD 125612,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,23000,centimetre per square second,11
http://www.wikidata.org/entity/Q4042010,Q4042010,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,17140,centimetre per square second,8
http://www.wikidata.org/entity/Q545436,Q545436,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,27500,centimetre per square second,8
http://www.wikidata.org/entity/Q284836,91 Aquarii,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,340,centimetre per square second,19
http://www.wikidata.org/entity/Q3780654,Q3780654,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,11700,centimetre per square second,6
http://www.wikidata.org/entity/Q4042135,Kepler-15,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,18450,centimetre per square second,11
http://www.wikidata.org/entity/Q611329,Iota Draconis,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,370,centimetre per square second,21
http://www.wikidata.org/entity/Q15722,Upsilon Librae,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,95,centimetre per square second,14
http://www.wikidata.org/entity/Q912296,Pi¹ Ursae Majoris,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,31000,centimetre per square second,14
http://www.wikidata.org/entity/Q4042003,Q4042003,Science,http://www.wikidata.org/prop/direct/P7015,http://www.wikidata.org/prop/direct/P7015,29500,centimetre per square second,7
