entity,entityLabel,category,property,propertyLabel,value,author,authorLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q10801136,The Prison Diary of Ho Chi Minh,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,82,http://www.wikidata.org/entity/Q36014,Ho Chi Minh,4,,2022-11-07T03:26:56Z
http://www.wikidata.org/entity/Q65051426,Real Country: Music and Language in Working-Class Culture,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,384,http://www.wikidata.org/entity/Q4662019,Aaron A Fox,1,,2024-10-04T23:38:08Z
http://www.wikidata.org/entity/Q24940267,Q24940267,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,272,http://www.wikidata.org/entity/Q6278197,Jorge Lanata,1,,2022-04-14T18:43:22Z
http://www.wikidata.org/entity/Q10649829,Q10649829,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,374,http://www.wikidata.org/entity/Q1341353,Mattias Gardell,1,,2022-12-04T18:41:49Z
http://www.wikidata.org/entity/Q15069105,The Vampire Murders,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,279,http://www.wikidata.org/entity/Q2739708,Brian Stowell,1,,2024-09-06T02:32:48Z
http://www.wikidata.org/entity/Q21615954,Q21615954,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,254,http://www.wikidata.org/entity/Q110598253,Mikalaĭ Uladzimiravich Mikulich,1,,2023-06-02T07:33:03Z
http://www.wikidata.org/entity/Q13185087,Mohan Koiralaka Kavita,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,299,http://www.wikidata.org/entity/Q13185084,Mohan Koirala,1,,2024-05-14T08:09:43Z
http://www.wikidata.org/entity/Q18759158,Jeevanko Chheubaata,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,120,http://www.wikidata.org/entity/Q17150957,Suman Pokhrel,1,,2022-11-19T09:46:39Z
http://www.wikidata.org/entity/Q16131888,"Maimonides and the Book That Changed Judaism: Secrets of ""The Guide for the Perplexed""",Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,383,http://www.wikidata.org/entity/Q7022910,Micah Goodman,2,,2022-11-27T07:20:27Z
http://www.wikidata.org/entity/Q24948391,Q24948391,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,106,http://www.wikidata.org/entity/Q45970,Czesław Miłosz,1,,2022-07-17T10:05:55Z
http://www.wikidata.org/entity/Q19066627,Mystery Tales of Edgar Allan Poe,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,312,http://www.wikidata.org/entity/Q16867,Edgar Allan Poe,2,,2024-10-10T14:57:23Z
http://www.wikidata.org/entity/Q11552391,The Sunk Waterfall,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,321,http://www.wikidata.org/entity/Q134456,Yukio Mishima,2,,2024-11-21T09:51:34Z
http://www.wikidata.org/entity/Q11626028,Q11626028,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,249,http://www.wikidata.org/entity/Q134456,Yukio Mishima,1,,2024-11-21T09:50:21Z
http://www.wikidata.org/entity/Q16654877,Q16654877,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,348,http://www.wikidata.org/entity/Q946031,Antonine Maillet,1,,2022-11-27T07:50:40Z
http://www.wikidata.org/entity/Q5900437,Q5900437,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,1542,http://www.wikidata.org/entity/Q8201210,Antonio Escohotado,2,,2022-04-13T23:45:19Z
http://www.wikidata.org/entity/Q48757378,Le patrimoine en questions,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,272,http://www.wikidata.org/entity/Q3086442,Françoise Choay,1,,2022-04-13T23:05:42Z
http://www.wikidata.org/entity/Q24940267,Q24940267,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,272,http://www.wikidata.org/entity/Q106474506,Joe Goldman,1,,2022-04-14T18:43:22Z
http://www.wikidata.org/entity/Q14874993,Clear dictionary Esperanto Arabic,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,302,http://www.wikidata.org/entity/Q12348209,Georgo Abraham,1,,2024-07-04T22:00:24Z
http://www.wikidata.org/entity/Q10540843,Q10540843,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,348,http://www.wikidata.org/entity/Q5912967,Björn af Kleen,1,,2023-03-07T07:47:02Z
http://www.wikidata.org/entity/Q65059696,A History of Medicine,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,448,http://www.wikidata.org/entity/Q16007805,Douglas James Guthrie,2,,2021-08-03T05:09:28Z
http://www.wikidata.org/entity/Q2904447,Birds of South Asia. The Ripley Guide,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,536,http://www.wikidata.org/entity/Q436696,Pamela C. Rasmussen,3,,2024-01-27T04:38:34Z
http://www.wikidata.org/entity/Q11446543,Goddess,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,173,http://www.wikidata.org/entity/Q134456,Yukio Mishima,1,,2024-11-21T09:50:34Z
http://www.wikidata.org/entity/Q16366433,Q16366433,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,240,,,1,,2023-02-13T11:07:09Z
http://www.wikidata.org/entity/Q1943729,Systema Mycologicum,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,1866,http://www.wikidata.org/entity/Q15405,Elias Magnus Fries,7,,2023-10-08T00:04:31Z
http://www.wikidata.org/entity/Q3342714,Q3342714,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,352,http://www.wikidata.org/entity/Q15730265,Alain Deneault,1,,2023-01-26T19:25:27Z
http://www.wikidata.org/entity/Q2923979,Brassens : Le libertaire de la chanson,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,128,http://www.wikidata.org/entity/Q34602523,Clémentine Deroudille,1,,2022-11-26T23:34:53Z
http://www.wikidata.org/entity/Q11491927,The Capital of Love,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,256,http://www.wikidata.org/entity/Q134456,Yukio Mishima,1,,2024-11-21T09:51:19Z
http://www.wikidata.org/entity/Q83365646,Q83365646,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,128,http://www.wikidata.org/entity/Q3658333,Bogomil Raynov,1,,2020-09-01T08:52:55Z
http://www.wikidata.org/entity/Q61140040,Illustrations from Bulgarian Folk Crosses,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,186,http://www.wikidata.org/entity/Q19603589,Ivan Enchev-Vidyu,2,,2023-02-28T14:41:29Z
http://www.wikidata.org/entity/Q16132821,Chalomo Shel Hakuzari,Art & Literature,http://www.wikidata.org/prop/direct/P1104,http://www.wikidata.org/prop/direct/P1104,380,http://www.wikidata.org/entity/Q7022910,Micah Goodman,1,,2022-11-27T07:22:28Z
