entity,entityLabel,category,property,propertyLabel,value,currencyLabel,publicationDate,artist,artistLabel,sitelinks,dateCreated,dateModified
http://www.wikidata.org/entity/Q27115062,Portrait of a Man,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,8400000,pound sterling,,http://www.wikidata.org/.well-known/genid/1a58a5ed25f7cf5b16e36643813f949a,http://www.wikidata.org/.well-known/genid/1a58a5ed25f7cf5b16e36643813f949a,0,,2024-10-18T22:01:03Z
http://www.wikidata.org/entity/Q28105685,Portrait of the artist as Mars,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,104500,pound sterling,,http://www.wikidata.org/entity/Q160538,Gian Lorenzo Bernini,0,,2024-10-31T05:25:03Z
http://www.wikidata.org/entity/Q28105917,Caricature of a man pointing with his left arm,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,2160,pound sterling,,http://www.wikidata.org/entity/Q160538,Gian Lorenzo Bernini,0,,2022-02-21T15:05:36Z
http://www.wikidata.org/entity/Q29460514,Marie in the garden,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,729750,pound sterling,,http://www.wikidata.org/entity/Q365068,Peder Severin Krøyer,2,,2024-10-31T09:54:15Z
http://www.wikidata.org/entity/Q38892458,Rejected,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,7500,pound sterling,,http://www.wikidata.org/entity/Q1291901,Tom Roberts,3,,2024-10-31T14:54:32Z
http://www.wikidata.org/entity/Q62195622,Rear view of the Houses at Schloßfreiheit,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,936.5,pound sterling,,http://www.wikidata.org/entity/Q880509,Eduard Gaertner,0,,2024-10-29T18:51:34Z
http://www.wikidata.org/entity/Q111952709,Autograph suit of Sandy Powell,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,16000,pound sterling,,http://www.wikidata.org/entity/Q289952,Sandy Powell,1,,2022-10-28T13:52:46Z
http://www.wikidata.org/entity/Q3061886,Execution,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,2900000,pound sterling,,http://www.wikidata.org/entity/Q1132877,Yue Minjun,3,,2024-10-31T14:35:52Z
http://www.wikidata.org/entity/Q26713350,A Dutch Girl at Breakfast,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,4405000,pound sterling,,http://www.wikidata.org/entity/Q123757,Jean-Étienne Liotard,1,,2024-10-30T09:40:10Z
http://www.wikidata.org/entity/Q26735903,Sydney Harbour,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,75,pound sterling,,http://www.wikidata.org/entity/Q709280,Arthur Streeton,0,,2024-10-30T11:02:08Z
http://www.wikidata.org/entity/Q31888424,Head III,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,10442500,pound sterling,,http://www.wikidata.org/entity/Q154340,Francis Bacon,2,,2024-10-31T14:39:17Z
http://www.wikidata.org/entity/Q46276042,The Card Players,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,158400000,pound sterling,,http://www.wikidata.org/entity/Q35548,Paul Cézanne,0,,2024-10-30T23:13:35Z
http://www.wikidata.org/entity/Q84569759,Garden,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,49500,pound sterling,,http://www.wikidata.org/entity/Q164351,Gerhard Richter,0,,2024-10-29T20:54:18Z
http://www.wikidata.org/entity/Q96943135,Q96943135,Art & Literature,http://www.wikidata.org/prop/direct/P2284,http://www.wikidata.org/prop/direct/P2284,729000,pound sterling,,http://www.wikidata.org/entity/Q687335,Emil Filla,0,,2024-10-27T16:00:19Z
